ticket_id,priority,description,status,assigned_to,created_at,resolution_time_hours
2026.0,Low,Ticket 26 problem description,Resolved,IT_Support_A,2024-01-25 06:00:00,17
2027.0,Medium,Ticket 27 problem description,Resolved,IT_Support_B,2024-10-17 02:00:00,10
2028.0,High,Ticket 28 problem description,Open,IT_Support_C,2024-08-16 11:00:00,49
2029.0,Critical,Ticket 29 problem description,Waiting for User,IT_Support_C,2024-06-20 18:00:00,62
2030.0,High,Ticket 30 problem description,In Progress,IT_Support_B,2024-04-11 01:00:00,26
2031.0,Critical,Ticket 31 problem description,Resolved,IT_Support_B,2024-01-12 18:00:00,18
2032.0,High,Ticket 32 problem description,Waiting for User,IT_Support_C,2024-04-10 11:00:00,69
2033.0,Medium,Ticket 33 problem description,Resolved,IT_Support_B,2024-01-17 09:00:00,47
2034.0,Medium,Ticket 34 problem description,Waiting for User,IT_Support_A,2024-02-26 22:00:00,29
2035.0,Low,Ticket 35 problem description,Resolved,IT_Support_C,2024-01-12 15:00:00,61
2036.0,Low,Ticket 36 problem description,Open,IT_Support_A,2024-08-03 18:00:00,36
2037.0,Medium,Ticket 37 problem description,In Progress,IT_Support_B,2024-09-20 20:00:00,35
2038.0,Low,Ticket 38 problem description,Open,IT_Support_A,2024-03-21 22:00:00,12
2039.0,Low,Ticket 39 problem description,Resolved,IT_Support_A,2024-07-16 07:00:00,7
2040.0,Medium,Ticket 40 problem description,Resolved,IT_Support_A,2024-01-25 17:00:00,29
2041.0,High,Ticket 41 problem description,In Progress,IT_Support_C,2024-03-29 11:00:00,31
2042.0,High,Ticket 42 problem description,Resolved,IT_Support_A,2024-05-22 08:00:00,33
2043.0,High,Ticket 43 problem description,Waiting for User,IT_Support_A,2024-01-26 14:00:00,6
2044.0,High,Ticket 44 problem description,Open,IT_Support_A,2024-10-14 09:00:00,47
2045.0,High,Ticket 45 problem description,Resolved,IT_Support_B,2024-01-16 06:00:00,15
2046.0,Low,Ticket 46 problem description,Open,IT_Support_C,2024-10-08 20:00:00,62
2047.0,Low,Ticket 47 problem description,Resolved,IT_Support_B,2024-03-26 06:00:00,11
2048.0,Critical,Ticket 48 problem description,Open,IT_Support_B,2024-09-26 14:00:00,23
2049.0,High,Ticket 49 problem description,In Progress,IT_Support_C,2024-04-26 06:00:00,59
2050.0,Critical,Ticket 50 problem description,Resolved,IT_Support_B,2024-05-16 18:00:00,34
2051.0,Medium,Ticket 51 problem description,Resolved,IT_Support_A,2024-06-24 07:00:00,46
2052.0,Medium,Ticket 52 problem description,Waiting for User,IT_Support_A,2024-08-02 17:00:00,34
2053.0,Low,Ticket 53 problem description,Resolved,IT_Support_A,2024-08-10 19:00:00,29
2054.0,Medium,Ticket 54 problem description,Resolved,IT_Support_A,2024-04-12 16:00:00,4
2055.0,Low,Ticket 55 problem description,Resolved,IT_Support_B,2024-01-14 23:00:00,17
2056.0,Low,Ticket 56 problem description,Resolved,IT_Support_C,2024-04-17 12:00:00,62
2057.0,High,Ticket 57 problem description,Resolved,IT_Support_A,2024-04-07 02:00:00,13
2058.0,Low,Ticket 58 problem description,Resolved,IT_Support_B,2024-10-19 10:00:00,41
2059.0,Medium,Ticket 59 problem description,Resolved,IT_Support_B,2024-07-01 22:00:00,39
2060.0,Medium,Ticket 60 problem description,Open,IT_Support_A,2024-02-08 14:00:00,15
2061.0,Medium,Ticket 61 problem description,Resolved,IT_Support_C,2024-01-04 21:00:00,55
2062.0,Low,Ticket 62 problem description,Resolved,IT_Support_B,2024-07-28 00:00:00,29
2063.0,Medium,Ticket 63 problem description,Resolved,IT_Support_A,2024-01-16 12:00:00,11
2064.0,Low,Ticket 64 problem description,Resolved,IT_Support_C,2024-04-17 01:00:00,51
2065.0,Low,Ticket 65 problem description,Resolved,IT_Support_B,2024-08-14 09:00:00,2
2066.0,Medium,Ticket 66 problem description,Open,IT_Support_B,2024-02-03 22:00:00,47
2067.0,Low,Ticket 67 problem description,In Progress,IT_Support_B,2024-09-25 12:00:00,14
2068.0,Medium,Ticket 68 problem description,Resolved,IT_Support_B,2024-09-30 02:00:00,20
2069.0,Medium,Ticket 69 problem description,In Progress,IT_Support_C,2024-02-08 13:00:00,95
2070.0,Medium,Ticket 70 problem description,Open,IT_Support_A,2024-01-29 16:00:00,11
2071.0,High,Ticket 71 problem description,Resolved,IT_Support_A,2024-09-01 11:00:00,27
2072.0,Low,Ticket 72 problem description,Waiting for User,IT_Support_A,2024-07-03 15:00:00,3
2073.0,Medium,Ticket 73 problem description,Waiting for User,IT_Support_C,2024-08-23 14:00:00,67
2074.0,Medium,Ticket 74 problem description,Resolved,IT_Support_A,2024-09-22 06:00:00,44
2075.0,Low,Ticket 75 problem description,Resolved,IT_Support_C,2024-03-05 16:00:00,75
2076.0,High,Ticket 76 problem description,Waiting for User,IT_Support_B,2024-01-03 12:00:00,29
2077.0,Medium,Ticket 77 problem description,Open,IT_Support_C,2024-05-21 23:00:00,44
2078.0,Medium,Ticket 78 problem description,Resolved,IT_Support_C,2024-06-06 17:00:00,73
2079.0,Low,Ticket 79 problem description,In Progress,IT_Support_C,2024-05-25 04:00:00,78
2080.0,Medium,Ticket 80 problem description,In Progress,IT_Support_C,2024-06-01 15:00:00,90
2081.0,Low,Ticket 81 problem description,In Progress,IT_Support_B,2024-07-11 20:00:00,20
2082.0,Low,Ticket 82 problem description,In Progress,IT_Support_B,2024-03-13 14:00:00,6
2083.0,High,Ticket 83 problem description,In Progress,IT_Support_A,2024-05-19 04:00:00,19
2084.0,Critical,Ticket 84 problem description,Resolved,IT_Support_A,2024-03-01 04:00:00,5
2085.0,Medium,Ticket 85 problem description,Resolved,IT_Support_B,2024-07-16 06:00:00,3
2086.0,Medium,Ticket 86 problem description,Open,IT_Support_B,2024-01-11 12:00:00,1
2087.0,High,Ticket 87 problem description,Waiting for User,IT_Support_A,2024-08-13 06:00:00,38
2088.0,Medium,Ticket 88 problem description,Resolved,IT_Support_B,2024-02-21 03:00:00,15
2089.0,Medium,Ticket 89 problem description,Resolved,IT_Support_C,2024-02-28 07:00:00,35
2090.0,Medium,Ticket 90 problem description,Open,IT_Support_B,2024-05-27 21:00:00,35
2091.0,Medium,Ticket 91 problem description,Resolved,IT_Support_C,2024-08-30 12:00:00,38
2092.0,Medium,Ticket 92 problem description,Open,IT_Support_C,2024-04-16 01:00:00,35
2093.0,Medium,Ticket 93 problem description,In Progress,IT_Support_C,2024-08-05 08:00:00,61
2094.0,Medium,Ticket 94 problem description,Open,IT_Support_B,2024-08-28 02:00:00,18
2095.0,High,Ticket 95 problem description,Resolved,IT_Support_C,2024-09-18 04:00:00,70
2096.0,Medium,Ticket 96 problem description,Resolved,IT_Support_C,2024-09-17 21:00:00,37
2097.0,Medium,Ticket 97 problem description,Resolved,IT_Support_C,2024-02-16 22:00:00,79
2098.0,Low,Ticket 98 problem description,Resolved,IT_Support_A,2024-06-25 08:00:00,27
2099.0,Medium,Ticket 99 problem description,Resolved,IT_Support_B,2024-04-08 19:00:00,8
2100.0,Low,Ticket 100 problem description,Resolved,IT_Support_A,2024-08-28 09:00:00,46
2101.0,Medium,Ticket 101 problem description,Resolved,IT_Support_A,2024-06-26 17:00:00,25
2102.0,High,Ticket 102 problem description,Resolved,IT_Support_B,2024-03-02 16:00:00,17
2103.0,Low,Ticket 103 problem description,Resolved,IT_Support_C,2024-08-03 02:00:00,91
2104.0,Medium,Ticket 104 problem description,Resolved,IT_Support_C,2024-06-08 02:00:00,91
2105.0,Medium,Ticket 105 problem description,Resolved,IT_Support_A,2024-09-25 23:00:00,15
2106.0,Critical,Ticket 106 problem description,Open,IT_Support_C,2024-03-29 08:00:00,36
2107.0,Medium,Ticket 107 problem description,Open,IT_Support_B,2024-03-08 13:00:00,46
2108.0,Medium,Ticket 108 problem description,Resolved,IT_Support_C,2024-04-07 10:00:00,33
2109.0,Medium,Ticket 109 problem description,In Progress,IT_Support_C,2024-04-14 23:00:00,35
2110.0,Low,Ticket 110 problem description,Resolved,IT_Support_B,2024-05-02 08:00:00,29
2111.0,High,Ticket 111 problem description,Open,IT_Support_A,2024-07-13 01:00:00,44
2112.0,Medium,Ticket 112 problem description,Resolved,IT_Support_C,2024-06-18 08:00:00,87
2113.0,Medium,Ticket 113 problem description,Waiting for User,IT_Support_A,2024-02-09 04:00:00,3
2114.0,High,Ticket 114 problem description,In Progress,IT_Support_A,2024-08-13 23:00:00,20
2115.0,Medium,Ticket 115 problem description,Open,IT_Support_C,2024-05-03 14:00:00,51
2116.0,Medium,Ticket 116 problem description,In Progress,IT_Support_A,2024-02-07 07:00:00,15
2117.0,Medium,Ticket 117 problem description,Resolved,IT_Support_C,2024-09-07 04:00:00,55
2118.0,High,Ticket 118 problem description,Resolved,IT_Support_A,2024-06-24 17:00:00,30
2119.0,Medium,Ticket 119 problem description,Open,IT_Support_C,2024-02-06 15:00:00,32
2120.0,Critical,Ticket 120 problem description,Resolved,IT_Support_A,2024-10-10 04:00:00,7
2121.0,Low,Ticket 121 problem description,In Progress,IT_Support_C,2024-03-21 17:00:00,70
2122.0,High,Ticket 122 problem description,Resolved,IT_Support_C,2024-02-09 12:00:00,89
2123.0,Medium,Ticket 123 problem description,Resolved,IT_Support_A,2024-08-11 18:00:00,20
2124.0,Low,Ticket 124 problem description,Resolved,IT_Support_B,2024-07-04 02:00:00,36
2125.0,Medium,Ticket 125 problem description,Resolved,IT_Support_C,2024-02-25 07:00:00,43
2126.0,Low,Ticket 126 problem description,Open,IT_Support_B,2024-02-09 12:00:00,38
2127.0,High,Ticket 127 problem description,Resolved,IT_Support_A,2024-08-24 00:00:00,22
2128.0,Low,Ticket 128 problem description,Resolved,IT_Support_B,2024-09-18 23:00:00,2
2129.0,Medium,Ticket 129 problem description,Resolved,IT_Support_B,2024-05-26 15:00:00,24
2130.0,Low,Ticket 130 problem description,Resolved,IT_Support_C,2024-06-16 00:00:00,41
2131.0,High,Ticket 131 problem description,In Progress,IT_Support_B,2024-02-28 15:00:00,11
2132.0,High,Ticket 132 problem description,Resolved,IT_Support_B,2024-06-17 12:00:00,13
2133.0,High,Ticket 133 problem description,Resolved,IT_Support_A,2024-02-14 20:00:00,17
2134.0,Medium,Ticket 134 problem description,Resolved,IT_Support_B,2024-06-18 03:00:00,8
2135.0,Low,Ticket 135 problem description,Open,IT_Support_B,2024-07-09 05:00:00,21
2136.0,Low,Ticket 136 problem description,Resolved,IT_Support_A,2024-07-06 06:00:00,18
2137.0,Critical,Ticket 137 problem description,In Progress,IT_Support_C,2024-05-12 10:00:00,41
2138.0,Low,Ticket 138 problem description,Waiting for User,IT_Support_B,2024-02-14 18:00:00,18
2139.0,Medium,Ticket 139 problem description,Resolved,IT_Support_B,2024-01-31 22:00:00,46
2140.0,Medium,Ticket 140 problem description,Resolved,IT_Support_C,2024-06-08 10:00:00,42
2141.0,High,Ticket 141 problem description,Resolved,IT_Support_B,2024-06-06 06:00:00,31
2142.0,Low,Ticket 142 problem description,Resolved,IT_Support_C,2024-03-22 03:00:00,54
2143.0,High,Ticket 143 problem description,Open,IT_Support_B,2024-09-14 13:00:00,32
2144.0,Medium,Ticket 144 problem description,Waiting for User,IT_Support_A,2024-03-17 11:00:00,11
2145.0,Low,Ticket 145 problem description,Resolved,IT_Support_B,2024-10-21 01:00:00,45
2146.0,High,Ticket 146 problem description,Resolved,IT_Support_B,2024-08-11 12:00:00,25
2147.0,Medium,Ticket 147 problem description,Resolved,IT_Support_C,2024-02-15 16:00:00,74
2148.0,High,Ticket 148 problem description,Open,IT_Support_A,2024-08-20 16:00:00,38
2149.0,Medium,Ticket 149 problem description,Resolved,IT_Support_A,2024-08-10 01:00:00,41
2150.0,2000,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:0024
2151.0,2000,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:0024
2152.0,2000,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:0024
2000.0,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:00,
2000.0,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:00,
2000.0,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:00,
2000.0,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:00,
2000.0,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:00,
2000.0,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:00,
2000.0,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:00,
,High,0 problem description,Resolved,IT_support_A,2024-11-25 05:00:00,
